CMDLINE /opt/miniconda3/envs/jupyter/bin/python test.py
MEM 44.382812 1596199195.7696
MEM 44.382812 1596199195.8747
MEM 44.382812 1596199195.9796
MEM 44.382812 1596199196.0810
MEM 44.382812 1596199196.1812
MEM 44.382812 1596199196.2858
MEM 44.382812 1596199196.3908
MEM 44.382812 1596199196.4942
MEM 44.382812 1596199196.5955
MEM 44.382812 1596199196.6976
MEM 44.382812 1596199196.8027
MEM 44.382812 1596199196.9067
MEM 44.382812 1596199197.0069
MEM 44.382812 1596199197.1120
MEM 44.382812 1596199197.2126
MEM 44.382812 1596199197.3129
MEM 44.382812 1596199197.4179
MEM 44.382812 1596199197.5189
MEM 44.382812 1596199197.6203
MEM 44.382812 1596199197.7210
MEM 44.382812 1596199197.8227
MEM 44.382812 1596199197.9248
MEM 44.382812 1596199198.0296
MEM 44.382812 1596199198.1318
MEM 44.382812 1596199198.2336
MEM 44.382812 1596199198.3348
MEM 44.382812 1596199198.4384
MEM 44.382812 1596199198.5409
